forecast_hour,observed_total,STGCN,DCRNN,STaR-GNN
87,263.884998322,258.538223028,259.994790554,264.825352430
88,252.652499437,251.381862164,251.508302689,254.583759546
89,252.235000610,249.211973667,248.807445526,246.382475853
90,247.627502680,251.634352446,253.576551199,246.735280037
91,258.537498713,262.043864489,264.290174484,255.279829025
92,269.346663952,273.214444160,275.695931196,265.968247414
93,276.933335304,269.258387566,275.253921986,266.795002937
94,263.057504416,246.489996195,255.029817581,244.134922504
95,228.812495470,228.234621286,232.336364746,220.911405087
96,215.467497826,210.789523602,218.503234863,208.725721121
97,198.110000372,192.070252180,202.689692020,190.478140116
98,183.982497692,179.827431202,190.756133318,179.655730009
99,169.837497830,175.738748550,185.751002073,174.738540649
100,174.800003290,175.404133320,183.136176825,173.908632040
101,174.637500763,175.863251209,184.614159107,174.988482237
102,188.919998884,186.748660088,195.628827810,183.652193069
103,228.202501774,228.996349096,230.228309631,223.017968655
104,293.672494411,290.648822784,282.221899271,285.230359554
105,294.911250114,294.062325954,295.492903233,297.681579351
106,285.855003119,284.544141054,290.338455200,289.526916504
107,275.900002956,273.986733437,278.311211586,276.682167768
108,279.815002918,264.175750971,269.869460106,268.810154915
109,268.460002422,263.744645834,266.981728554,266.959109306
110,266.112504244,265.476763725,264.964392662,265.815103054
111,264.667499542,257.833695173,257.633129835,260.698354244
112,255.126246691,249.796383142,249.286276340,251.815975666
113,247.317497253,248.945065022,246.448046207,245.274582624
114,251.287497759,251.744057894,251.292048931,246.195347548
115,260.435004234,261.031783342,262.553785563,254.365340233
116,278.059999228,272.462278366,274.832317114,265.036276340
117,281.135005713,271.408561707,275.461961746,266.373670340
118,256.894996166,251.368628979,256.156736851,244.850594521
119,230.280000925,225.800496101,233.424647331,223.565510988
120,211.992498875,209.892006874,221.152376652,209.437778473
121,191.462501287,192.211937904,205.915039539,190.849692106
122,181.354998469,180.461234808,194.276120663,180.307165623
123,175.047500372,175.832150698,189.070182562,175.019050360
124,175.720002174,174.974318743,186.333173513,174.463824034
125,168.864997745,175.829794884,187.274270773,175.494965076
126,182.630002022,188.104795456,196.677886248,183.423720121
127,227.142500401,231.697138309,228.097770929,223.041422367
128,295.302501678,290.284888744,278.056326628,285.629702091
129,289.880001545,295.123171806,292.626634598,297.347282887
130,279.715002775,283.401895523,288.300934553,289.025179863
131,279.285002470,272.940018654,277.235068321,276.714362383
132,268.432502985,263.997857094,269.794831514,269.242055893
133,266.162499905,262.915673733,266.939799547,267.409724951
134,263.900002480,265.131791115,264.269725323,266.115426779
135,253.940003872,257.914595604,257.258929253,261.154713631
136,247.984998941,249.383636951,249.541397333,253.002340794
137,249.109995365,247.631060600,246.735301495,247.404395103
138,253.845002413,251.584835768,250.758575201,248.521419525
139,261.332495689,260.562333345,260.246647358,255.754713774
140,274.637502193,272.170199871,270.733111858,264.993630886
141,280.477498293,271.808221817,271.571511745,266.083340168
142,259.782499075,251.244673252,253.669421911,246.120947599
143,226.814997911,225.877862930,231.916114330,224.913654327
144,208.380003929,209.443714142,221.304011822,210.983825922
145,193.157499552,193.411303520,206.941742897,193.752534389
146,178.224998116,180.020821333,195.588475227,182.380831718
147,175.327501893,175.758648872,189.500376701,176.468932867
148,173.127498150,175.401467323,186.570104837,175.745699883
149,179.060003638,176.881475925,187.296396255,176.935570955
150,184.472501040,188.629519463,196.000153780,185.217566490
151,226.619999647,228.209319592,225.441493511,224.471433163
152,291.909999847,287.951543331,273.473542929,285.715528488
153,299.362495899,295.431870937,291.528034687,298.353643894
154,290.087505102,286.731370926,288.864691257,290.191742420
155,281.125001907,273.906629562,278.129435539,277.997210979
156,266.660002470,265.532124758,270.710741758,270.565799236
157,264.507497787,263.617023945,267.368661880,268.818151474
158,266.182500839,265.397561073,263.897935152,267.694723606
159,266.471254587,257.560504913,256.918107986,262.689092875
160,259.849998236,249.244597197,250.175371885,254.450345993
161,254.887500525,247.976729155,248.419518471,249.128588676
162,246.917502880,251.079621553,252.724929810,250.385152817
163,258.686256647,260.905577183,261.252124786,256.956008434
164,275.607500792,270.225299358,270.178166866,264.616127968
165,278.097503662,269.523181915,270.393347263,264.049984694
166,256.069998026,247.909881353,252.778176546,244.391974926
167,232.027498484,223.737648249,231.420078993,222.789095879
168,213.210005760,210.244347334,221.393027782,210.339367390
